title,journal,authors,year
Teen Mothers' Educational Attainment and Their Children's Risk for Teenage Childbearing.," Developmental Psychology 55,6 ","Hendrick, C. Emily and Julie Maslowsky. ",2019
Student Abilities During the Expansion of US Education., Journal of Monetary Economics 63 ,"Hendricks, Lutz and Todd Schoellman. ",2014
Angels and Loners: An Examination of Abstainer Subtypes.," Deviant Behavior 37,12 ","Hendrix, Joshua A. ",2016
"Parental Nonstandard Work, Family Processes, and Delinquency During Adolescence."," Journal of Family Issues 35,10 ","Hendrix, Joshua A. and Toby L. Parcel. ",2014
Race Differences in Middle Class Lifestyle: The Role of Home Ownership.," Social Science Research 8,1 ","Henretta, John C. ",1979
Net Worth as an Aspect of Status.," American Journal of Sociology 83,5 ","Henretta, John C. and Richard T. Campbell. ",1978
Accumulation of Childhood Poverty on Young Adult Overweight or Obese Status: Race/Ethnicity and Gender Disparities.," Journal of Epidemiology and Community Health 68,5 ","Hernandez, Daphne C. and Emily Pressler. ",2014
Gender Disparities among the Association between Cumulative Family-level Stress & Adolescent Weight Status., Preventive Medicine 73 ,"Hernandez, Daphne C. and Emily Pressler. ",2015
The Role of Boomerang Fathers in Adolescent Female Depression.," Journal of Marriage and Family 78,5 ","Hernandez, Daphne C., Emily Pressler and Cassandra J. Dorius. ",2016
Does Family Instability Make Girls Fat? Gender Differences Between Instability and Weight.," Journal of Marriage and Family 76,1 ","Hernandez, Daphne C., Emily Pressler, Cassandra J. Dorius and Katherine Stamps Mitchell. ",2014
"Early Education, Poverty, and Parental Circumstances among Hispanic Children: Pointing Toward Needed Public Policies."," Association of Mexican American Educators Journal 7,2 ","Hernandez, Donald J. and Jeffrey S. Napierala. ",2013
Moving Upstream: The Effect of Tobacco Clean Air Restrictions on Educational Inequalities in Smoking Among Young Adults.," Demography 56,5 ","Hernandez, Elaine M., Mike Vuolo, Laura C. Frizzell and Brian Kelly. ",2019
Part-time Employment and Women's Health.," Journal of Occupational and Environmental Medicine 27,6 ","Herold, Joan and Ingrid Waldron. ",1985
Measuring the Effect of the Timing of First Birth on Wages.," Journal of Population Economics 29,1 ","Herr, Jane Leber. ",2016
Job Matching and Women's Wage-Tenure Profile.," Applied Economics 26,3 ","Hersch, Joni and Patricia Benton Reagan. ",1994
"Graduating High School in a Recession: Work, Education, and Home Production."," B.E. Journal of Economic Analysis and Policy 12,1 ","Hershbein, Brad. ",2012
Turning Job Finders into Job Keepers.," The Future of Children: Welfare to Work 7,1, ","Hershey, Alan M. and Ladonna Ann Pavetti. ",1997
Turning Job Finders into Job Keepers; Helping Welfare Recipients Keep Their Jobs; Includes Related Articles on Welfare.," Spectrum: the Journal of State Government 70,3 ","Hershey, Alan M. and Ladonna Ann Pavetti. ",1997
Marriage and Consumption Insurance: What's Love Got to Do with It?," Journal of Political Economy 112,2 ","Hess, Gregory D. ",2004
Behavior Genetics Association 36th Annual Meeting Abstracts.," Behavior Genetics 36,6 ","Hewitt, John. ",2006
Low-Income Parents: How Do Working Conditions Affect Their Opportunity to Help School-Age Children at Risk?," American Educational Research Journal 37,4 ","Heymann, S. Jody and Alison Earle. ",2000
The Impact of Parental Working Conditions on School-Age Children: The Case of Evening Work.," Community, Work & Family 4,3 ","Heymann, S. Jody and Alison Earle. ",2001
The Impact of Welfare Reform on Parents' Ability to Care for Their Children's Health.," American Journal of Public Health 89,4 ","Heymann, S. Jody and Alison Earle. ",1999
The Work-Family Balance: What Hurdles Are Parents Leaving Welfare Likely to Confront?," Journal of Policy Analysis and Management 17,2 ","Heymann, S. Jody and Alison Earle. ",1998
Parental Availability for the Care of Sick Children.," Pediatrics 98,2 ","Heymann, S. Jody, Alison Earle and Brian Egleston. ",1996
Meeting Children's Needs: How Does the United States Measure Up?," Merrill-Palmer Quarterly 52,2 ","Heymann, S. Jody, Kate Penrose and Alison Earle. ",2006
Racial Earnings Differentials and Performance Pay.," Journal of Human Resources 40,2 ","Heywood, John S. ",2005
Performance Pay and the White-Black Wage Gap.," Journal of Labor Economics 30,2 ","Heywood, John S. and Daniel Parent. ",2012
"Performance Pay, the Gender Gap, and Specialization within Marriage."," Journal of Labor Research 38,4 ","Heywood, John S. and Daniel Parent. ",2017
Ensnared into Crime: A Preliminary Test of Moffitt's Snares Hypothesis in a National Sample of African Americans.," Journal of Ethnicity in Criminal Justice 8,3 ","Higgins, George E., Michael D. Bush, Catherine D. Marcum, Melissa L. Ricketts and EmmaLeigh E. Kirchner. ",2010
Developmental Trajectories of Nonsocial Reinforcement and Offending In Adolescence and Young Adulthood: An Exploratory Study of an Understudied Part of Social Learning Theory.," Journal of Criminal Justice 39,1 ","Higgins, George E., Wesley G. Jennings, Catherine D. Marcum, Melissa L. Ricketts and Margaret Mahoney. ",2011
Examining the Link Between Being a Victim of Bullying and Delinquency Trajectories Among an African American Sample.," International Criminal Justice Review 22,2 ","Higgins, George E., David N. Khey, B. Cherie Dawson-Edwards and Catherine D. Marcum. ",2012
"General Strain Theory, Peer Rejection, and Delinquency/Crime."," Youth and Society 43,4 ","Higgins, George E., Nicole L. Piquero and Alex R. Piquero. ",2011
Young Worker Participation in Post-School Education and Training.," Monthly Labor Review 121,6 ","Hight, Joseph E. ",1998
"Capacities, Opportunities and Educational Investments: The Case of the High School Dropout."," Review of Economics and Statistics 61,1 ","Hill, C. Russell. ",1979
Measuring Poverty in the NLSY97.," Journal of Human Resources 36,4 ","Hill, Carolyn J. and Robert T. Michael. ",2001
Labor Market Effects of Women's Post-School-Age Training.," Industrial and Labor Relations Review 49,1 ","Hill, Elizabeth T. ",1995
"Marital History, Later Training, and the Labor Market: Women's Experiences."," Social Science Journal 31,2 ","Hill, Elizabeth T. ",1994
Post-School-Age Training among Women: Training Methods and Labor Market Outcomes at Older Ages.," Economics of Education Review 20,2 ","Hill, Elizabeth T. ",2001
The Labor Force Participation of Older Women: Retired? Working? Both?," Monthly Labor Review 125,9 ","Hill, Elizabeth T. ",2002
"Women, Race, and Crime."," Criminology 28,4 ","Hill, Gary D. and Elizabeth M. Crawford. ",1990
Maternal Employment and Child Development: A Fresh Look Using Newer Methods.," Developmental Psychology 41,6 ","Hill, Jennifer L., Jane Waldfogel, Jeanne Brooks-Gunn and Wen-Jui Han. ",2005
Higher Education as Moral Community: Institutional Influences on Religious Participation During College.," Journal for the Scientific Study of Religion 48,3 ","Hill, Jonathan P. ",2009
Intercohort Differences in Women's Labor Market Transitions.," American Economic Review 80,2 ","Hill, M. Anne. ",1990
Family Endowments and the Achievement of Young Children with Special Reference to the Underclass.," Journal of Human Resources 29,4 ","Hill, M. Anne and June E. O'Neill. ",1994
Estimating the Relationships between Unemployment Compensation and the Duration of Unemployment--The Problem of Eligible Nonfilers.," Journal of Human Resources 17,3 ","Hills, Stephen M. ",1982
Race and Sex Differences in the Effects of Early Unemployment on Wages.," Review of Black Political Economy 18,4 ","Hills, Stephen M. ",1990
The Attitudes of Union and Nonunion Male Workers toward Union Representation.," Industrial and Labor Relations Review 38,2 ","Hills, Stephen M. ",1985
"Unions, Wages, and Skills."," Journal of Human Resources 33,1 ","Hirsch, Barry T. and Edward J. Schumacher. ",1998
Determinants of Municipal Wages: Some Tests of the Competitive Wage Hypothesis., Research in Urban Economics 2 ,"Hirsch, Werner Z. and Anthony M. Rufolo. ",1982
When You Say Nothing at All: The Predictive Power of Student Effort on Surveys., Economics of Education Review 52 ,"Hitt, Collin, Julie Trivitt and Albert Cheng. ",2016
Crime and Expected Punishment: Changes in Perceptions at the Age of Criminal Majority.," American Law and Economics Review 11,1 ","Hjalmarsson, Randi. ",2009
Criminal Justice Involvement and High School Completion .," Journal of Urban Economics 63,2 ","Hjalmarsson, Randi. ",2008
The Voting Behavior of Young Disenfranchised Felons: Would They Vote if They Could?," American Law and Economics Review 12,2 ","Hjalmarsson, Randi and Mark Lopez. ",2010
"Beliefs, Parental Investments, and Intergenerational Persistence: A Formal Model."," Rationality and Society 30,1 ","Hjorth-Trolle, Anders. ",2018
A Prospective Study of Adolescent Pregnancy.," Journal of Adolescence 23,4 ","Hockaday, Catheryn Michele, Sedahlia Jasper Crase, Mack C. Shelley and Dahlia F. Stockdale. ",2000
"Intersections on the Class Escalator: Gender, Race, and Occupational Segregation in Paid Care Work."," Sociological Forum 35,1 ","Hodges, Melissa J. ",2020
Who Gets the Daddy Bonus?: Organizational Hegemonic Masculinity and the Impact of Fatherhood on Earnings.," Gender and Society 24,6 ","Hodges, Melissa J. and Michelle Jean Budig. ",2010
Credit Card Blues: The Middle Class and the Hidden Costs of Easy Credit.," The Sociology Quarterly 55,2 ","Hodson, Randy, Rachel E. Dwyer and Lisa A. Neilson. ",2014
Secondary Data Analysis in Family Research.," Journal of Marriage and Family 67,4 ","Hofferth, Sandra L. ",2005
"Child Support, Father-Child Contact, and Preteens' Involvement with Nonresidential Fathers: Racial/Ethnic Differences."," Journal of Family and Economic Issues 31,1 ","Hofferth, Sandra L., Nicole D. Forry and H. Elizabeth Peters. ",2010
Does Change in Young Men's Employment Influence Fathering?," Family Relations 59,4 ","Hofferth, Sandra L. and Frances Kobrin Goldscheider. ",2010
Family Structure and the Transition to Early Parenthood .," Demography 47,2 ","Hofferth, Sandra L. and Frances Kobrin Goldscheider. ",2010
Early Childbearing and Later Economic Well-Being.," American Sociological Review 44,5 ","Hofferth, Sandra L. and Kristin Anderson Moore. ",1979
The Transmission of Parenting from Fathers to Sons.," Parenting: Science and Practice 12,4 ","Hofferth, Sandra L., Joseph H. Pleck and Colleen Vesely. ",2012
Early Childbearing and Children's Achievement and Behavior Over Time.," Perspectives on Sexual and Reproductive Health 34,1 ","Hofferth, Sandra L. and Lori Lynn Reid. ",2002
The Effects of Early Childbearing on Schooling Over Time.," Family Planning Perspectives 33, 6 ","Hofferth, Sandra L., Lori Lynn Reid and Frank L. Mott. ",2001
"Price, Quality, and Income in Child Care Choice."," Journal of Human Resources 27,1 ","Hofferth, Sandra L. and Douglas A. Wissoker. ",1992
Comparative Labor Supply of Black and White Women.," Review of Black Political Economy 11,4 ","Hoffman, Emily P. ",1982
Determinants of Youths' Educational and Occupational Goals: Sex and Race Differences.," Economics of Education Review 6,1 ","Hoffman, Emily P. ",1987
Economic Progress of Black Women.," Economics Letters 6,2 ","Hoffman, Emily P. ",1980
Fertility and Female Employment.," Quarterly Review of Economics and Business 25,1 ","Hoffman, Emily P. ",1985
Reevaluating the Costs of Teenage Childbearing.," Demography 30,1 ","Hoffman, Saul D., E. Michael Foster and Frank F. Jr. Furstenberg. ",1993
Reevaluating the Costs of Teenage Childbearing: Response to Geronimus and Korenman.," Demography 30,2 ","Hoffman, Saul D., E. Michael Foster and Frank F. Jr. Furstenberg. ",1993
Drug Use and Job Quits: A Longitudinal Analysis.," Journal of Drug Issues 37,3 ","Hoffmann, John P., Mikaela J. Dufur and Lynn Huang. ",2007
A New Approach for Measuring Wage Ignorance in the Labor Market.," Journal of Economics and Business 37,3 ","Hofler, Richard A. and Solomon W. Polachek. ",1985
"Race, Kin Networks, and Assistance to Mother-headed Families."," Social Forces 68,3 ","Hogan, Dennis P., Lingxin Hao and William L. Parish. ",1990
Family Developmental Risk Factors Among Adolescents With Disabilities and Children of Parents with Disabilities.," Journal of Adolescence 30,6 ","Hogan, Dennis P., Carrie L. Shandra and Michael E. Msall. ",2007
Having a Premarital Birth Reduces the Likelihood a Woman Will Marry.," Family Planning Perspectives 27,5 ","Hollander, Dore. ",1995
The Labor Force Participation of Handicapped Women: An Empirical Analysis.," Journal of Applied Rehabilitation Counseling 11,1 ","Hollingsworth, David K. and Robert M. Harris. ",1980
The Impact of Public Assistance on the Rehabilitation Process of Handicapped Women.," Journal of Applied Rehabilitation Counseling 11,1 ","Hollingsworth, David K. and L. A. Pease. ",1980
Employer and Occupational Instability in Two Cohorts of the National Longitudinal Surveys.," The Sociological Quarterly 53,2 ","Hollister, Matissa. ",2012
Is Optimal Matching Suboptimal?," Sociological Methods and Research 38,2 ","Hollister, Matissa. ",2009
The Effect of Adolescent Neighborhood Poverty on Adult Employment.," Journal of Urban Affairs 26,4 ","Holloway, Steven R. and Stephen Mulherin. ",2004
Adolescent Outcome Measures in the NLSY97 Family Process Data Set: Variation by Race and Socioeconomic Conditions.," Marriage and Family Review 45,4 ","Holmes, Erin K., Hinckley A. Jones-Sanpei and Randal D. Day. ",2009
Estimating Vector Autoregressions with Panel Data.," Econometrica 56,6 ","Holtz-Eakin, Douglas, Whitney K. Newey and Harvey S. Rosen. ",1988
The Effects of Homeownership on Children's Outcomes: Real Effects or Self-Selection?," Real Estate Economics 40,3 ","Holupka, Scott and Sandra J. Newman. ",2012
Informal Job Search and Black Youth Unemployment.," American Economic Review 77,3 ","Holzer, Harry J. ",1987
Job Search by Employed and Unemployed Youth.," Industrial and Labor Relations Review 40,4 ","Holzer, Harry J. ",1987
Reservation Wages and Their Labor Market Effects for Black and White Male Youth.," Journal of Human Resources 21,2 ","Holzer, Harry J. ",1986
"Work-Related Physical Exertion and Risk of Preterm, Low Birthweight Delivery."," Paediatric and Perinatal Epidemiology 4,2 ","Homer, Charles J., S. A. Beresford, Sherman A. James and Earl Siegel. ",1990
"Work-Related Psychosocial Stress and Risk of Preterm, Low Birthweight Delivery."," American Journal of Public Health 80,2 ","Homer, Charles J., Sherman A. James and Earl Siegel. ",1990
Students’ Perceptions of Unsafe Schools: An Ecological Systems Analysis .," Journal of Child and Family Studies 21,3 ","Hong, Jun Sung and Mary Keegan Eamon. ",2012
Social-Ecological Antecedents of Oppositional-Defiant Behavior in U.S. Schools: Findings from a Nationally Representative Sample of Early Adolescents.," Child Indicators Research 11,1 ","Hong, Jun Sung, Dorothy L. Espelage and Johnny S. Kim. ",2018
Understanding the Antecedents of Adverse Peer Relationships Among Early Adolescents in the United States: An Ecological Systems Analysis.," Youth and Society 49,8 ","Hong, Jun Sung, Dorothy L. Espelage and Paul R. Sterzing. ",2017
Social Mobility in the United States as a Markov Process.," Journal for Economic Educators 8,1 ","Hooper, Zol Alexei and E. Anthon Eff. ",2008
Sex Differences in the Relationship between Status and Number of Offspring in the Contemporary U.S.," Evolution and Human Behavior 36,2 ","Hopcroft, Rosemary L. ",2015
The Primary Parental Investment in Children in the Contemporary USA is Education.," Human Nature 25,2 ","Hopcroft, Rosemary L. and David O. Martin. ",2014
"Maternal Characteristics, Parenting, and Adolescent Sexual Behavior; the Role of Self-Control."," Deviant Behavior 26,1 ","Hope, Trina L. and Constance L. Chapple. ",2005
Semiparametric Estimation of a Panel Data Proportional Hazards Model with Fixed Effects.," Journal of Econometrics 119,1 ","Horowitz, Joel L. and Sokbae Lee. ",2004
Censoring of Outcomes and Regressors Due to Survey Nonresponse: Identification and Estimation Using Weights and Imputations.," Journal of Econometrics 84,1 ","Horowitz, Joel L. and Charles F. Manski. ",1998
Life Course Events and Migration in the Transition to Adulthood., Social Forces published online ,"Horowitz, Jonathan and Barbara Entwisle. ",2020
"'Introduction' to the Special Issue on Early Results from the National Longitudinal Survey of Youth, 1997 Cohort ."," Journal of Human Resources 36,4 ","Horrigan, Michael W. and James R. Walker. ",2001
Introduction to the Journal of Human Resources Early Results Issue.," Journal of Human Resources 36,4 ","Horrigan, Michael W. and James R. Walker. ",2001
NLSY97: An Introduction.," Monthly Labor Review 124,8 ","Horrigan, Michael W. and James R. Walker. ",2001
"Who Stays, Who Leaves? Attrition Among First-Term Enlistees."," Armed Forces and Society 15,3 ","Hosek, James R., John J. Antel and Christine E. Peterson. ",1989
A Bayesian Propensity Score Adjustment for Latent Variable Modeling and MCMC Algorithm .," Computational Statistics and Data Analysis 52,3 ","Hoshino, Takahiro. ",2008
Semiparametric Bayesian Estimation for Marginal Parametric Potential Outcome Modeling: Application to Causal Inference.," Journal of the American Statistical Association 108,504 ","Hoshino, Takahiro. ",2013
Costs and Consequences of Teenage Childbearing for Mothers and the Government.," Chicago Policy Review 1,1 ","Hotz, V. Joseph, Susan Williams McElroy and Seth G. Sanders. ",1996
Teenage Childbearing and Its Life Cycle Consequences.," Journal of Human Resources 40,3 ","Hotz, V. Joseph, Susan Williams McElroy and Seth G. Sanders. ",2005
"Strategic Parenting, Birth Order, and School Performance."," Journal of Population Economics 28,4 ","Hotz, V. Joseph and Juan Pantano. ",2015
Are There Returns to the Wages of Young Men from Working While in School?," Review of Economics and Statistics 84,2 ","Hotz, V. Joseph, Lixin Colin Xu, Marta Tienda and Avner Ahituv. ",2002
"The Effect of Incarceration on Adult Male BMI Trajectories, USA, 1981–2006."," Journal of Racial and Ethnic Health Disparities 1,1 ","Houle, Brian. ",2014
A Generation Indebted: Young Adult Debt across Three Cohorts.," Social Problems 61,3 ","Houle, Jason N. ",2014
Disparities in Debt: Parents’ Socioeconomic Resources and Young Adult Student Loan Debt.," Sociology of Education 87,1 ","Houle, Jason N. ",2014
Children with Disabilities and Trajectories of Parents' Unsecured Debt Across the Life Course., Social Science Research 64 ,"Houle, Jason N. and Lawrence Marc Berger. ",2017
Getting Sick and Falling Behind: Health and the Risk of Mortgage Default and Home Foreclosure.," Journal of Epidemiology and Community Health 69,4 ","Houle, Jason N. and Danya Keene. ",2015
"Into the Red and Back to the Nest? Student Debt, College Completion, and Returning to the Parental Home among Young Adults."," Sociology of Education 90,1 ","Houle, Jason N. and Cody Warner. ",2017
The Impact of Marital Conflict and Disruption on Children's Health.," Youth and Society 38,1 ","Houseknecht, Sharon K. and Darcy William Hango. ",2006
Geography of Opportunity and Unemployment: An Integrated Model of Residential Segregation and Spatial Mismatch.," Journal of Urban Affairs 27,4 ","Howell-Moroney, Michael Edward. ",2005
The Journey to Work and Gender Inequality in Earnings: A Cross-Validation Study for the United States.," The Sociological Quarterly 37,3 ","Howell, Frank M. and Deborah Richey Bronson. ",1996
Does Competition among Public Schools Benefit Students and Taxpayers?," American Economic Review 90,5 ","Hoxby, Caroline M. ",2000
Effect of Survey Conditions on Self-Reported Substance Use.," Contemporary Economic Policy 12,3 ","Hoyt, Gail Mitchell and Frank J. Chaloupka. ",1994
Are Independent Parameter Draws Necessary for Multiple Imputation?," The American Statistician 67,3 ","Hu, Jingchen, Robin Mitra and Jerome P. Reiter. ",2013
Filling in the Gaps: The Association between Intelligence and Both Color and Parent-Reported Ancestry in the National Longitudinal Survey of Youth 1997 .," Psych 1,1 ","Hu, Meng, Jordan Lasker, Emil O.W. Kirkegaard and John G.R. Fuerst. ",2019
Pregnancy Intention from Men's Perspectives: Does Child Support Enforcement Matter?," Perspectives on Sexual and Reproductive Health 37,3 ","Huang, Chien-Chung. ",2005
The Impact of Child Support Enforcement on Nonmarital and Marital Births: Does It Differ by Racial and Age Groups?," Social Service Review 76,2 ","Huang, Chien-Chung. ",2002
Child Support Enforcement and Sexual Activity of Male Adolescents.," Journal of Marriage and Family 69,3 ","Huang, Chien-Chung and Wen-Jui Han. ",2007
Employment Trajectories: Exploring Gender Differences and Impacts of Drug Use.," Journal of Vocational Behavior 79,1 ","Huang, David Y.C., Elizabeth Evans, Motoaki Hara, Robert E. Weiss and Yih-Ing Hser. ",2011
Association Between Adolescent Substance Use and Obesity in Young Adulthood: A Group-based Dual Trajectory Analysis.," Addictive Behaviors 38,11 ","Huang, David Y.C., H. Isabella Lanza and M. Douglas Anglin. ",2013
Trajectory of Adolescent Obesity: Exploring the Impact of Prenatal to Childhood Experiences.," Journal of Child and Family Studies 23,6 ","Huang, David Y.C., H. Isabella Lanza and M. Douglas Anglin. ",2014
Parallel Development of Risk Behaviors in Adolescence: Potential Pathways to Co-occurrence.," International Journal of Behavioral Development 36,4 ","Huang, David Y.C., H. Isabella Lanza, Debra A. Murphy and Yih-Ing Hser. ",2012
Developmental Trajectories of Childhood Obesity and Risk Behaviors in Adolescence.," Journal of Adolescence 36,1 ","Huang, David Y.C., H. Isabella Lanza, Kynna Wright-Volel and M. Douglas Anglin. ",2013
Developmental Trajectory of Sexual Risk Behaviors From Adolescence to Young Adulthood.," Youth and Society 44,4 ","Huang, David Y.C., Debra A. Murphy and Yih-Ing Hser. ",2012
Parental Monitoring During Early Adolescence Deters Adolescent Sexual Initiation: Discrete-Time Survival Mixture Analysis.," Journal of Child and Family Studies 20,4 ","Huang, David Y.C., Debra A. Murphy and Yih-Ing Hser. ",2011
Does Television Viewing Affect Children's Behaviour?," Pacific Economic Review 14,4 ","Huang, Fali and Myoung-Jae Lee. ",2009
Dynamic Treatment Effect Analysis of TV Effects on Child Cognitive Development.," Journal of Applied Econometrics 25,3 ","Huang, Fali and Myoung-Jae Lee. ",2010
Youth Initiation into the Labor Market.," Monthly Labor Review 124,8 ","Huang, Lynn, Michael R. Pergamit and Jamie Shkolnik. ",2001
Cognitive Abilities and the Growth of High-IQ Occupations.," Social Science Research 30,4 ","Huang, Min-Hsiung. ",2001
Relative Obesity and the Formation of Non-cognitive Abilities During Adolescence., Journal of Human Resources published online ,"Huang, Wei, Elaine M. Liu and C. Andrew Zuppann. ",2020
Life Cycle Models of Women's BMI and Probability of Being Obese: Evidence from Panel Data.," Agricultural Economics 50,4 ","Huang, Ying and Wallace Edgar Huffman. ",2019
Impacts of Economic and Psychological Factors on Women’s Obesity and Food Assistance Program Participation: Evidence from the NLSY Panel.," American Journal of Agricultural Economics 94, 2 ","Huang, Ying, Wallace Edgar Huffman and Abebayehu Tegene. ",2012
Causal Pitfalls in the Decomposition of Wage Gaps.," Journal of Business and Economic Statistics 33,2 ","Huber, Martin. ",2015
On the Sensitivity of Wage Gap Decompositions., Journal of Labor Research published online ,"Huber, Martin and Anna Solovyeva. ",2020
Commitment to Work and Wages: Earnings Differences of Black and White Women.," Sociology of Work and Occupations 4,2 ","Hudis, Paula M. ",1977
"Parental Education, Labor Market Experience and Earnings: New Wine in an Old Bottle?"," Economics Letters 113, 2 ","Hudson, John and John G. Sessions. ",2011
Racial and Ethnic Differences in the Likelihood of Marriage: The Effect of Incarceration.," Justice Quarterly 24,1 ","Huebner, Beth Marie. ",2007
The Effect of Incarceration on Marriage and Work Over the Life Course.," Justice Quarterly 22,3 ","Huebner, Beth Marie. ",2005
The Effect of Maternal Incarceration on Adult Offspring Involvement in the Criminal Justice System.," Journal of Criminal Justice 35,3 ","Huebner, Beth Marie and Regan M. Gustafson. ",2007
Inequality of Income Acquisition: The Role of Childhood Circumstances.," Social Choice and Welfare 49, 3-4 ","Hufe, Paul, Andreas Peichl, John Roemer and Martin Ungerer. ",2017
Gender Differences in Alcohol and Other Drug Use among Young Adults.," Substance Use and Misuse 32,3 ","Hughes, Tonda L., L. Edward Day, Richard J. Marcantonio and Edward Torpy. ",1997
Nurses' Use of Alcohol and Other Drugs: Findings from a National Probability Sample.," Substance Use and Misuse 37,11 ","Hughes, Tonda L., Marion J. Howard and David Henry. ",2002
Migration and Wage Growth: A Human Capital Approach.," Southern Economic Journal 51,3 ","Hunt, Janet C. and James B. Kau. ",1985
The Effect of Type of Union on Member-Nonmember Wage Differentials.," Journal of Labor Research 8,1 ","Hunt, Janet C., B. F. Kiker and C. Glyn Williams. ",1987
Crime Pays: The Connection Between Time in Prison and Future Criminal Earnings.," The Prison Journal 92,3 ","Hutcherson, Donald T., II. ",2012
A Multivariate Reduced-Rank Growth Curve Model with Unbalanced Data.," Psychometrika 69, 1 ","Hwang, Heungsun and Yoshio Takane. ",2004
Women's Employment Patterns During Early Parenthood: A Group-Based Trajectory Analysis.," Journal of Marriage and Family 67,1 ","Hynes, Kathryn and Marin Clarkberg. ",2005
The Transition to Early Fatherhood: National Estimates Based on Multiple Surveys.," Demographic Research 18,12 ","Hynes, Kathryn, Kara Joyner, H. Elizabeth Peters and Felicia Yang Deleone. ",2008
Intertemporal Labor Supply and Human Capital Accumulation.," International Economic Review 45,2 ","Imai, Susumu and Michael P. Keane. ",2004
"Marriage, Divorce, and Social Safety Net Policy."," Southern Economic Journal 86,4 ","Isaac, Elliott. ",2020
Asthma at Mid-life is Associated with Physical Activity Limits but not Obesity after 10 Years Using Matched Sampling in a Nationally Representative Sample.," Health Services and Outcomes Research Methodology 19,1 ","Islam, Shahidul, Janet E. Rosenbaum and Mary Cataletto. ",2019
The Impact of Youth Characteristics and Experiences on Transitions Out of Poverty.," Journal of Socio-Economics 27,6 ","Israel, Mark and Michael C. Seeborg. ",1998
The Intergenerational Transmission of Teaching., American Educational Research Journal published online ,"Jacinto, Alberto and Seth Gershenson. ",2020
The Role of Workplace Characteristics in Breastfeeding Practices.," Women and Health 47,2 ","Jacknowitz, Alison. ",2008
The Bell Curve: What's All the Fuss About?," The Black Scholar 25,1 ","Jackson, Jacquelyne Johnson. ",1995
Decomposition Analysis to Identify Intervention Targets for Reducing Disparities.," Epidemiology 29,6 ","Jackson, John W. and Tyler J. VanderWeele. ",2018
Disparities at the Intersection of Marginalized Groups.," Social Psychiatry and Psychiatric Epidemiology 51,10 ","Jackson, John W., David R. Williams and Tyler J. VanderWeele. ",2016
Alcohol Use During the Transition From Middle School to High School: National Panel Data on Prevalence and Moderators.," Developmental Psychology 49,11 ","Jackson, Kristina M. and John E. Schulenberg. ",2013
Understanding Links Between Adolescent Health and Educational Attainment.," Demography 46,4, ","Jackson, Margot I. ",2009
Another Look at No-Fault Divorce and the Post-Divorce Finances of Women.," Law and Society Review 23,1 ","Jacob, Herbert. ",1989
Class Origin and Young Adults’ Re-Enrollment.," Research in Social Stratification and Mobility 29,4 ","Jacob, Marita and Felix Weiss. ",2011
Industrial Sector and Career Mobility Reconsidered.," American Sociological Review 48,3 ","Jacobs, Jerry A. ",1983
Sex Typing of Aspirations and Occupations: Instability during the Careers of Young Women.," Social Science Quarterly 68,1 ","Jacobs, Jerry A. ",1987
Changing Places: Conjugal Careers and Women's Marital Mobility.," Social Forces 64,3 ","Jacobs, Jerry A. and Frank F. Jr. Furstenberg. ",1986
Dynamics of Young Men's Career Aspirations.," Sociological Forum 6,4 ","Jacobs, Jerry A., David Karen and Katherine McClelland. ",1991
Baby Boomer Caregivers in the Workforce: Do They Fare Better or Worse than their Predecessors?, The Journal of the Economics of Ageing 6 ,"Jacobs, Josephine C., Courtney H. Van Houtven, Audrey Laporte and Peter C. Coyte. ",2015
The Impact of Informal Caregiving Intensity on Women's Retirement in the United States.," Journal of Population Ageing 10,2 ","Jacobs, Josephine C., Courtney H. Van Houtven, Audrey Laporte and Peter C. Coyte. ",2017
Adolescent Smoking: The Relationship between Cigarette Consumption and BMI., Addictive Behaviors Reports 9 ,"Jacobs, Molly. ",2019
A Dynamic Model of Cultural Reproduction.," American Journal of Sociology 121,4 ","Jaeger, Mads Meier. ",2016
Does Cultural Capital Really Affect Academic Achievement? New Evidence from Combined Sibling and Panel Data.," Sociology of Education 84,4 ","Jaeger, Mads Meier. ",2011
Effects of Nonmaternal Care in the First 3 Years on Children's Academic Skills and Behavioral Functioning in Childhood and Early Adolescence: A Sibling Comparison Study.," Child Development 82,4 ","Jaffee, Sara R., Carol A. Van Hulle and Joseph Lee Rodgers. ",2011
The Effect of Maternal Labor Force Participation on Child Development.," Journal of Labor Economics 23,1 ","James-Burdumy, Susanne N. ",2005
Variation in Marital Quality in a National Sample of Divorced Women.," Journal of Family Psychology 29,3 ","James, Spencer. ",2015
Variation in Trajectories of Women's Marital Quality., Social Science Research 49 ,"James, Spencer. ",2015
Reassessing the Link between Women's Premarital Cohabitation and Marital Quality.," Social Forces 91,2 ","James, Spencer and Brett Beattie. ",2012
Migration and Marriage: Modeling the Joint Process.," Demographic Research 30,47 ","Jang, Bohyun, John Casterline and Anastasia R. Snyder. ",2014
Moving and Union Formation in the Transition to Adulthood in the United States., Advances in Life Course Research 23 ,"Jang, Bohyun and Anastasia R. Snyder. ",2015
Informal Caregiving and Health in Middle and Late Adulthood.," Innovation in Aging 4, S1 ","Jang, Joy Bohyun and Sandra Tang. ",2020
