title,keywords,authors,journal,year
Implications of Mean-Reverting Measurement Error for Longitudinal Studies of Wages and Employment,"Keywords: Labor Market & Outcomes, Statistical & Econometric Methods, Survey Methodology","Kim, Bonggeun and Solon, Gary.", The Review of Economics and Statistics, 2005
Black Homeownership: The Role of Temporal Changes and Residential Segregation at the End of the 20th Century,"Keywords: Housing, Neighborhoods & Geographic Mobility, Racial-Ethnic Differences","Freeman, Lance.", Social Science Quarterly, 2005
Black-White Differences in Occupational Prestige: Their Impact on Child Development,"Keywords: Child Development Supplement, Children, Intergenerational Influences & Transfers, Labor Market & Outcomes, Racial-Ethnic Differences","Conley, Dalton and Yeung, Wei-Jun J.", American Behavioral Scientist, 2005
By What Measure? Family Time Devoted to Children in the United States,"Keywords: Child Development Supplement, Children, Time Use & Home Production","Folbre, Nancy, Yoon, Jayoung, Finnoff, Kade, and Fuligni, Allison Sidle.", Demography, 2005
Economic Risk Has Shifted From the Government and Corporations to Workers and Their Families',"Keywords: Income, Labor Market & Outcomes","Hacker, Jacob S.", Boston Review, 2005
The Effect of Income Taxation on Consumption and Labor Supply,"Keywords: Aging, Expenditures, Savings & Consumption, Food & Nutrition, Labor Market & Outcomes, Life Course, Taxes","Ziliak, James P. and Kniesner, Thomas J.", Journal of Labor Economics, 2005
"The Effect of Unemployment Benefits, Welfare Benefits, and Other Income on Personal Bankruptcy","Keywords: Expenditures, Savings & Consumption, Government Transfers, Income, Labor Market & Outcomes","Fisher, Jonathan D.", Contemporary Economic Policy, 2005
On Testing Sample Selection Bias Under the Multicollinearity Problem,Keywords: Statistical & Econometric Methods,"Yamagata, Takashi and Orme, Chris D.", Econometric Reviews, 2005
Does Marriage Make People Good Or Do Good People Marry,"Keywords: Child Development Supplement, Family Formation & Composition, Life Course","Yuracko, Kimberly A.", San Diego Law Review, 2005
"Childhood Obesity: What We Can Learn From Existing Data on Societal Trends, Part 1","Keywords: Child Development Supplement, Children, Time Use & Home Production","Sturm, Roland.", Preventing Chronic Disease, 2005
Income Distribution and WellBeing: What Can We Learn From Subjective Data?,"Keywords: Income, Survey Methodology, Wellbeing","Senik, Claudia.",Income Distribution and WellBeing: What Can We Learn From Subjective Data? Journal of Economic Surveys, 2005
An Evolutionary Perspective On Why Some Men Refuse Or Reduce Their Child Support Payments,"Keywords: Children, Education Attainment & Achievement, Family Formation & Composition, Income","Shackelford, Todd K., Weekes-Shackelford, Viviana A., and Schmitt, David P.", Basic and Applied Social Psychology, 2005
""" Success Taxes,"" Entrepreneurial Entry, and Innovation","Keywords: Labor Market & Outcomes, Taxes","Gentry, William M. and Hubbard, R. Glenn.", Innovation Policy and the Economy, 2005
"Bringing Up Baby: Adoption, Marriage, and the Best Interests of the Child","Keywords: Child Development Supplement, Children, Family Formation & Composition","Wilcox, W. Bradford and Wilson, Robin Fretwell.", William & Mary Bill of Rights Journal, 2005
Democratic Community Initiatives: The Case of Overscheduled Children,"Keywords: Child Development Supplement, Family Formation & Composition","Anderson, Jared R. and Doherty, William J.", Family Relations, 2005
Whose Sons and Daughters Are Treated Differently-(Re) Examining the Child Gender Literature Through the Lens of Race and Ethnicity,"Keywords: Children, Labor Market & Outcomes, Racial-Ethnic Differences","Hiedemann, Bridget and Joesch, Jutta M.", Seattle Journal for Social Justice, 2005
Is Food Insecurity a Price of Smoking Among the Poor?,"Keywords: Food & Nutrition, Health, Disability & Mortality, Poverty","Armour, Brian, Pitts, M. Melinda, Lee, Chung-won, Woollery, Trevor, and Caraballo, Ralph.", Preventing Chronic Disease, 2005
On the Empirical Finding of a Higher Risk of Poverty in Rural Areas: Is Rural Residence Endogenous To Poverty? Comment,"Keywords: Government Transfers, Neighborhoods & Geographic Mobility, Poverty","Hirschl, Thomas A.", Journal of Agricultural and Resource Economics, 2005
Taxation Over Time,"Keywords: Expenditures, Savings & Consumption, Food & Nutrition, Income, Poverty, Taxes","Fennell, Lee Anne and Stark, Kirk J.", Tax Law Review, 2005
Evaluating Marriage: Does Marriage Matter To the Nurturing of Children,"Keywords: Child Development Supplement, Children, Family Formation & Composition","Wilson, Robin Fretwell.", San Diego Law Review, 2005
"The Impact of Unions On Job Satisfaction, Organizational Commitment, and Turnover",Keywords: Labor Market & Outcomes,"Hammer, TH and Avgar, A.", Journal of Labor Research, 2005
The Role of Comparative Advantage and Learning in Wage Dynamics and Intrafirm Mobility: Evidence From Germany,"Keywords: Labor Market & Outcomes, Statistical & Econometric Methods","Lluis, Stephanie.", Journal of Labor Economics, 2005
Do Wages Rise With Job Seniority? A Reassessment,"Keywords: Labor Market & Outcomes, Statistical & Econometric Methods","Altonji, Joseph G. and Williams, Nicolas.", ILR Review, 2005
"Poverty Experience, Race, and Child Health","Keywords: Child Development Supplement, Children, Health, Disability & Mortality, Poverty, Racial-Ethnic Differences","Malat, J., Oh, H. J., and Hamilton, M. A.", Public Health Reports, 2005
"Poverty, Food Programs, and Childhood Obesity","Keywords: Child Development Supplement, Children, Food & Nutrition, Government Transfers, Health, Disability & Mortality, Poverty, Wellbeing","Hofferth, Sandra L. and Curtin, Sally C.", Journal of Policy Analysis and Management, 2005
Practical Propensity Score Matching: A Reply to Smith and Todd,"Keywords: Statistical & Econometric Methods, Survey Methodology","Dehejia, Rajeev H.", Journal of Econometrics, 2005
Changes in Children's Time With Parents: A Correction,"Keywords: Child Development Supplement, Children, Time Use & Home Production","Sandberg, John F. and Hofferth, Sandra L.", Demography, 2005
Childhood and Adolescent Neighborhood Effects on Adult Income: Using Siblings to Examine Differences in Ordinary Least Squares and Fixed Effect Models,"Keywords: Children, Income, Neighborhoods & Geographic Mobility, Poverty","Vartanian, Thomas P. and Buck, Page Walker.", Social Service Review, 2005
A Comparison of the Relationship between Obesity and Earnings in the U.S. and Germany,"Keywords: Aging, Food & Nutrition, Gender Differences, Health, Disability & Mortality, Income, International Studies, Labor Market & Outcomes, Wellbeing","Cawley, John, Grabka, Markus M., and Lillard, Dean R.", Schmollers Jahrbuch:-Zeitschrift-fur-Wirtschafts-und-Sozialwissenschaften/Journal of Applied Social Science Studies, 2005
Consumption and Portfolio Choice over the Life Cycle,"Keywords: Aging, Expenditures, Savings & Consumption, Food & Nutrition, Income, Wealth, Assets & Pensions","Cocco, Joao F., Gomes, Francisco J., and Maenhout, Pascal J.", The Review of Financial Studies, 2005
Fiscal Policy with Heterogeneous Agents and Incomplete Markets,"Keywords: Expenditures, Savings & Consumption, Statistical & Econometric Methods, Taxes","Heathcote, Jonathan.", The Review of Economic Studies, 2005
An Empirical Study of the Transition from Paid Work to Self-Employment,"Keywords: Income, Labor Market & Outcomes","Velamuri, S. Ramakrishna and Venkataraman, S.", The Journal of Entrepreneurial Finance & Business Ventures, 2005
Cash Constraints and Business Start-Ups: Deutschmarks Versus Dollars. The B.E,"Keywords: International Studies, Labor Market & Outcomes, Wealth, Assets & Pensions","Holtz-Eakin, Douglas and Rosen, Harvey.", Journal of Economic Analysis & Policy, 2005
Income and Wealth Distributions along the Business Cycle: Implications from the Neoclassical Growth Model,"Keywords: Income, Statistical & Econometric Methods, Wealth, Assets & Pensions","Maliar, Lilia, Maliar, Serguei, and Mora, Juan.", Topics in Macroeconomics, 2005
Value of a Statistical Life: Relative Position vs. Relative Age,"Keywords: Expenditures, Savings & Consumption, Labor Market & Outcomes, Statistical & Econometric Methods","Kniesner, Thomas J. and Viscusi, W. Kip.", American Economic Review, 2005
The Role of the Father in Child Development (4th Edition),"Keywords: Child Development Supplement, Children, Family Formation & Composition","Lamb, Michael E.", Fathering: A Journal of Theory and Practice, 2005
The Role of the Father in Child Development (4th edition) edited by Michael E. Lamb,"Keywords: Child Development Supplement, Children, Family Formation & Composition, Health, Disability & Mortality, Intergenerational Influences & Transfers, Neighborhoods & Geographic Mobility","Marsiglio, William.", Fathering: A Journal of Theory and Practice, 2005
The Roles of Employment Barriers in Welfare Exits and Reentries after Welfare Reform: Event History Analyses,"Keywords: Government Transfers, Labor Market & Outcomes, Poverty","Nam, Yunju.", Social Service Review, 2005
Remaining Off Welfare in the 1990s: The Influence of Public Policy and Economic Conditions,"Keywords: Government Transfers, Labor Market & Outcomes, Poverty","Hofferth, Sandra L. and Stanhope, Stephen/Harris, Kathleen Mullan.", Social Science Research, 2005
Secondary Data Analysis in Family Research,"Keywords: Aging, Neighborhoods & Geographic Mobility, Statistical & Econometric Methods, Survey Methodology, Wellbeing","Hofferth, Sandra L.", Journal of Marriage and Family, 2005
Preferences for Redistribution in the Land of Opportunities,"Keywords: Aging, Wealth, Assets & Pensions","Alesina, Alberto and La Ferrara, Eliana.", Journal of Public Economics, 2005
Preschool Child Care and Risk of Overweight in 6- to 12-Year Old Children,"Keywords: Child Development Supplement, Children, Food & Nutrition, Health, Disability & Mortality","Lumeng, J. C., Ganon, K., Appugliese, D., Cabral, H. J., and Zuckerman, B.", International Journal of Obesity, 2005
"The Price of Female Headship: Gender, Inheritance, and Wealth Accumulation in the United States","Keywords: Aging, Gender Differences, Income, Intergenerational Influences & Transfers, Labor Market & Outcomes, Wealth, Assets & Pensions","Ryvicker, Miriam.", Journal of Income Distribution, 2005
Race and Job Dismissal: African American/White Differences in Their Sources During the Early Work Career,"Keywords: Labor Market & Outcomes, Racial-Ethnic Differences","Wilson, George.", American Behavioral Scientist, 2005
Race and Loss of Privilege: African American/White Differences in the Determinants of Job Layoffs From Upper-Tier Occupations,"Keywords: Labor Market & Outcomes, Racial-Ethnic Differences","Wilson, George and McBrier, Debra.", Sociological Forum, 2005
"Race, Class and Changing Patterns of Migration between Poor and Nonpoor Neighborhoods","Keywords: Neighborhoods & Geographic Mobility, Poverty, Racial-Ethnic Differences","Crowder, Kyle D. and South, Scott J.", American Journal of Sociology, 2005
"Review of: Downsizing in America: Reality, Causes, and Consequences",Keywords: Labor Market & Outcomes,"Miller, Robert A.", Journal of Economic Literature, 2005
Risk and Career Choice,"Keywords: Aging, Education Attainment & Achievement, Labor Market & Outcomes, Wealth, Assets & Pensions","Saks, Raven E. and Shore, Stephen H.", Advances in Economic Analysis & Policy, 2005
Separating Uncertainty from Heterogeneity in Life Cycle Earnings,"Keywords: Aging, Education Attainment & Achievement, Family Formation & Composition, Income, Labor Market & Outcomes, Life Course","Cunha, Flavio, Heckman, James J., and Navarro, Salvador.", Oxford Economic Papers, 2005
"Income Inequality, Permanent Incomes, and Income Dynamics: Comparing Europe to the United States","Keywords: Aging, Income, International Studies, Labor Market & Outcomes, Wealth, Assets & Pensions","Gangl, Markus.", Work and Occupations, 2005
The Likelihood of Using Food Stamps During the Adulthood Years,"Keywords: Aging, Education Attainment & Achievement, Food & Nutrition, Government Transfers, Intergenerational Influences & Transfers, Poverty, Racial-Ethnic Differences","Rank, Mark R. and Hirschl, Thomas A.", The Journal of Nutrition, 2005
"The Living Arrangement Dynamics of Sick, Elderly Individuals","Keywords: Aging, Health, Disability & Mortality, Neighborhoods & Geographic Mobility, Time Use & Home Production, Wealth, Assets & Pensions","Dostie, Benoit and Leger, Pierre Thomas.", The Journal of Human Resources, 2005
Marital History Homogamy Between the Divorced and the Never Married Among Non-Hispanic Whites,"Keywords: Family Formation & Composition, Racial-Ethnic Differences","Ono, Hiromi.", Social Science Research, 2005
Maternal Employment and Teenage Childbearing: Evidence from the PSID,"Keywords: Children, Family Formation & Composition, Gender Differences, Government Transfers, Labor Market & Outcomes, Poverty","Lopoo, Leonard M.", Journal of Policy Analysis and Management, 2005
"Race, Gender, and Marriage: Destination Selection During the Great Migration","Keywords: Family Formation & Composition, Gender Differences, Neighborhoods & Geographic Mobility, Racial-Ethnic Differences","White, Katherine J. Curtis, Crowder, Kyle D., and Tolnay, Stewart Emory/Adelman, Robert M.", Demography, 2005
"Race, Space, and Unemployment Duration","Keywords: Labor Market & Outcomes, Racial-Ethnic Differences","Dawkins, Casey J., Shen, Qing, and Sanchez, Thomas W.", Journal of Urban Economics, 2005
Migration and Spatial Assimilation Among U. S. Latinos: Classical Versus Segmented Trajectories,"Keywords: Neighborhoods & Geographic Mobility, Racial-Ethnic Differences","South, Scott J., Crowder, Kyle D., and Chavez, Erick.", Demography, 2005
Mobility and Optimal Tenure Choice,"Keywords: Housing, Neighborhoods & Geographic Mobility","Özyýldýrým, Süheyla, Önder, Zeynep, and Yavas, Abdullah.", Journal of Housing Economics, 2005
Moving Up: Trends in Homeownership and Mortgage Indebtedness,"Keywords: Aging, Expenditures, Savings & Consumption, Housing, Income, Labor Market & Outcomes, Wealth, Assets & Pensions","Li, Wenli.", Federal Reserve Bank of Philadelphia Business Review, 2005
On the Empirical Finding of a Higher Risk of Poverty in Rural Areas: Is Rural Residence Endogenous to Poverty?,"Keywords: Government Transfers, Neighborhoods & Geographic Mobility, Poverty","Fisher, Monica.",On the Empirical Finding of a Higher Risk of Poverty in Rural Areas: Is Rural Residence Endogenous to Poverty? Journal of Agricultural and Resource Economics, 2005
Optimal Consumption and Portfolio Choices with Risky Housing and Borrowing Constraints,"Keywords: Aging, Expenditures, Savings & Consumption, Food & Nutrition, Housing, Wealth, Assets & Pensions","Yao, Rui and Zhang, Harold H.", The Review of Financial Studies, 2005
Optimal Life-Cycle Asset Allocation: Understanding the Empirical Evidence,"Keywords: Aging, Expenditures, Savings & Consumption, Income, Retirement, Wealth, Assets & Pensions","Gomes, Francisco and Michaelides, Alexander.", The Journal of Finance, 2005
Family Conflict and Violent Media Use Among School-Aged Children,"Keywords: Child Development Supplement, Children, Education Attainment & Achievement","Vandewater, Elizabeth A., Lee, June H., and Shim, Mi-Suk P.", Media Psychology, 2005
A Framework for the Decomposition of Poverty Differences with an Application to Poverty Differences Between Countries,"Keywords: International Studies, Poverty","Biewen, Martin and Jenkins, Stephen P.", Empirical Economics, 2005
Geographic Mobility and Spatial Assimilation Among U. S. Latino Immigrants,"Keywords: Neighborhoods & Geographic Mobility, Racial-Ethnic Differences","South, Scott J., Crowder, Kyle D., and Chavez, E.", International Migration Review, 2005
Has the Intergenerational Transmission of Economic Status Changed?,"Keywords: Aging, Income, Intergenerational Influences & Transfers, Wealth, Assets & Pensions","Mayer, Susan E. and Lopoo, Leonard Michael.", The Journal of Human Resources, 2005
"Housework and the Wages of Young, Middle-Aged, and Older Workers","Keywords: Aging, Income, Intergenerational Influences & Transfers, Labor Market & Outcomes, Life Course, Time Use & Home Production","Keith, Kristen and Malone, Paula.", Contemporary Economic Policy, 2005
Two Views of Inequality over the Life Cycle,"Keywords: Expenditures, Savings & Consumption, Labor Market & Outcomes","Heathcote, Jonathan, Storesletten, Kjetil, and Violante, Giovanni L.", Journal of the European Economic Association, 2005
America Gives: A Survey of Americans' Generosity After September 11,Keywords: Philanthropy,"Steinberg, Kathryn S. and Rooney, Patrick M.", Nonprofit and Voluntary Sector Quarterly, 2005
Analysis of Labour Participation Behaviour of Korean Women with Dynamic Probit and Conditional Logit,"Keywords: Gender Differences, Labor Market & Outcomes","Lee, Myoung-Jae and Tae, Yoon-Hee.", Oxford Bulletin of Economics and Statistics, 2005
Analyzing Grouped Data with Hierarchical Linear Modeling,"Keywords: Child Development Supplement, Children, Education Attainment & Achievement, Government Transfers, Intergenerational Influences & Transfers, Poverty","Guo, Shenyang.", Children and Youth Services Review, 2005
Are Salaried Workers Compensated for Overtime Hours,"Keywords: Aging, Education Attainment & Achievement, Family Formation & Composition, Gender Differences, Labor Market & Outcomes, Life Course","Cherry, Monica.", Journal of Labor Research, 2005
"The Association Between Natural Amenities, Rural Population Growth, and Long-Term Residents' Economic Well-Being","Keywords: Income, Neighborhoods & Geographic Mobility, Racial-Ethnic Differences","Hunter, Lori M., Boardman, Jason D., and Onge, Jarron M. Saint.", Rural Sociology, 2005
Welfare Reform When Recipients are Forward-Looking,"Keywords: Family Formation & Composition, Government Transfers, Labor Market & Outcomes, Poverty","Swann, Christopher A.", The Journal of Human Resources, 2005
"Tiebout Choice and Residential Segregation by Race in U.S. Metropolitan Areas, 1980-2000","Keywords: Aging, Housing, Neighborhoods & Geographic Mobility, Racial-Ethnic Differences, Wealth, Assets & Pensions","Dawkins, Casey J.", Regional Science and Urban Economics, 2005
Downward Nominal-Wage Flexibility: Real or Measurement Error?,"Keywords: Labor Market & Outcomes, Statistical & Econometric Methods, Survey Methodology","Gottschalk, Peter.",Downward Nominal-Wage Flexibility: Real or Measurement Error? The Review of Economics and Statistics, 2005
Demand Systems with Nonstationary Prices,"Keywords: Expenditures, Savings & Consumption, Statistical & Econometric Methods","Lewbel, Arthur and Ng, Serena.", The Review of Economics and Statistics, 2005
Time on my Side? Life Course Trajectories of Poverty and Health,"Keywords: Aging, Education Attainment & Achievement, Health, Disability & Mortality, Life Course, Poverty, Racial-Ethnic Differences","McDonough, Peggy, Sacker, Amanda, and Wiggins, Richard D.", Social Science & Medicine, 2005
Understanding Racial Differences in the Economic Costs of Growing Up in a Single-Parent Family,"Keywords: Children, Family Formation & Composition, Government Transfers, Labor Market & Outcomes, Life Course, Poverty, Racial-Ethnic Differences, Wellbeing","Page, Marianne E. and Stevens, Ann Huff.", Demography, 2005
Until Death Do Us Part: An Analysis of the Economic Well-Being of Widows in Four Countries,"Keywords: Family Formation & Composition, Gender Differences, Government Transfers, Income, International Studies","Burkhauser, Richard V., Giles, Philip, Lillard, Dean R., and Schwarze, Johannes.", The Journals of Gerontology Series B: Psychological Sciences and Social Sciences, 2005
Wage Uncertainty and the Labour Supply of Self-Employed Workers,"Keywords: Income, Labor Market & Outcomes","Parker, Simon C., Belghitar, Yacine, and Barmby, Tim.", The Economic Journal, 2005
Displacement or Succession? Residential Mobility in Gentrifying Neighborhoods,Keywords: Neighborhoods & Geographic Mobility,"Freeman, Lance.", Urban Affairs Review, 2005
Evidence on the Intergenerational Persistence of Residential Segregation by Race,"Keywords: Aging, Intergenerational Influences & Transfers, Neighborhoods & Geographic Mobility, Racial-Ethnic Differences","Dawkins, Casey J.", Urban Studies, 2005
"The Effects of Health, Wealth, and Wages on Labor Supply and Retirement Behavior","Keywords: Aging, Government Transfers, Health, Disability & Mortality, Income, Labor Market & Outcomes, Retirement, Wealth, Assets & Pensions","French, Eric.", The Review of Economic Studies, 2005
"Exit, Voice, and Suffering: Do Couples Adapt to Changing Employment Patterns?","Keywords: Family Formation & Composition, Income, International Studies, Labor Market & Outcomes","Gershuny, Jonathan, Bittman, Michael, and Brice, John.","Exit, Voice, and Suffering: Do Couples Adapt to Changing Employment Patterns? Journal of Marriage and Family", 2005
"Exiting and Entering High-Poverty Neighborhoods: Latinos, Blacks and Anglos Compared","Keywords: Government Transfers, Neighborhoods & Geographic Mobility, Poverty, Racial-Ethnic Differences","South, Scott J. and Crowder, Kyle D.", Social Forces, 2005
Explaining Family Change and Variation: Challenges for Family Demographers,"Keywords: Aging, Family Formation & Composition, Life Course","Seltzer, J. A., Bachrach, C. A., Bianchi, Suzanne M., Bledsoe, C. H., Casper, L. M., Chase-Lansdale, P. L., DiPrete, Thomas A., Hotz, V. J., Morgan, S. P., Sanders, S. G., and Thomas, D.", Journal of Marriage and Family, 2005
The Mediating Role of Fathers' School Involvement on Student Achievement,"Keywords: Child Development Supplement, Children, Education Attainment & Achievement","McBride, Brent A., Schoppe-Sullivan, Sarah J., and Ho, Moon-Ho.", Journal of Applied Developmental Psychology, 2005
Men and Islands: Dealing with the Family in Empirical Labor Economics,Keywords: Income,"Lundberg, Shelly.", Journal of Econometrics, 2005
The Influence of Parent Education and Family Income on Child Achievement: The Indirect Role of Parental Expectations and the Home Environment,"Keywords: Child Development Supplement, Children, Education Attainment & Achievement, Income, Intergenerational Influences & Transfers","Davis-Kean, Pamela E.", Journal of Family Psychology, 2005
Inter Vivos Transfers and Bequests in Three OECD Countries,"Keywords: Aging, Intergenerational Influences & Transfers, International Studies, Wealth, Assets & Pensions","Villanueva, Ernesto.", Economic Policy, 2005
Job Search and Impatience,Keywords: Labor Market & Outcomes,"Della Vigna, Stefano and Paserman, M. Danielle.", Journal of Labor Economics, 2005
Labor Market Discrimination and Racial Differences in Premarket Factors,"Keywords: Child Development Supplement, Children, Labor Market & Outcomes, Racial-Ethnic Differences","Carneiro, Pedro M., Heckman, James J., and Masterov, Dimitriy V.", The Journal of Law and Economics, 2005
Microdata Access and Labor Market Research: The U.S. Experience,"Keywords: Aging, Government Transfers, Health, Disability & Mortality, Labor Market & Outcomes, Life Course, Neighborhoods & Geographic Mobility, Poverty, Retirement, Statistical & Econometric Methods, Survey Methodology","Abraham, Katharine G.", Allgemeines Statistsches, 2005
"The Effects of Involved Nonresidential Fathers' Distress, Parenting Behaviors, Inter-Parental Conflict, and the Quality of Father-Child Relationships on Children's Well-Being","Keywords: Child Development Supplement, Children, Family Formation & Composition, Health, Disability & Mortality, Intergenerational Influences & Transfers, Racial-Ethnic Differences","Harper, Scott and Fine, Mark A.", Fathering: A Journal of Theory and Practice, 2006
"Entrepreneurship, Frictions, and Wealth","Keywords: Aging, Expenditures, Savings & Consumption, Intergenerational Influences & Transfers, Labor Market & Outcomes, Life Course, Philanthropy, Wealth, Assets & Pensions","Cagetti, Marco.", Journal of Political Economy, 2006
Entry Costs and Stock Market Participation Over the Life Cycle,"Keywords: Aging, Expenditures, Savings & Consumption, Income, Labor Market & Outcomes, Life Course, Wealth, Assets & Pensions","Alan, Sule.", Review of Economic Dynamics, 2006
New Data on Charitable Giving in the PSID,"Keywords: Expenditures, Savings & Consumption, Philanthropy","Wilhelm, Mark Ottoni.", Economics Letters, 2006
New Yorkers Commute More Everywhere: Contrast Effects in the Field,"Keywords: Labor Market & Outcomes, Neighborhoods & Geographic Mobility","Simonsohn, Uri.", The Review of Economics and Statistics, 2006
Factorial Survey Methods for Studying Beliefs and Judgments,"Keywords: Education Attainment & Achievement, Family Formation & Composition, Gender Differences, Income, Labor Market & Outcomes, Survey Methodology","Jasso, Guillermina.", Sociological Methods & Research, 2006
"Floors, Ceilings and Opening the Door for a Non-Itemizer Deduction","Keywords: Expenditures, Savings & Consumption, Income, Labor Market & Outcomes, Philanthropy, Taxes","Ackerman, D. and Auten, G.", National Tax Journal, 2006
"Black Homeownership: A Dream No Longer Deferred?, Annual Feature","Keywords: Aging, Housing, Racial-Ethnic Differences, Wealth, Assets & Pensions","Anonymous, National Urban League.","Black Homeownership: A Dream No Longer Deferred? National Urban League Equality Index, Annual Feature", 2006
Health Selection and the Process of Social Stratification: The Effect of Childhood Health on Socioeconomic Attainment,"Keywords: Children, Education Attainment & Achievement, Health, Disability & Mortality, Intergenerational Influences & Transfers, Labor Market & Outcomes, Life Course, Wealth, Assets & Pensions","Haas, Steven A.", Journal of Health and Social Behavior, 2006
Lifecycle Bias in Estimates of Intergenerational Earnings Persistence,"Keywords: Aging, Income, Intergenerational Influences & Transfers, Labor Market & Outcomes, Life Course","Grawe, Nathan D.", Labour Economics, 2006
"School Finance, Equivalent Educational Expenditure, and the Income Distribution: Equal Dollars or Equal Chances for Success?","Keywords: Children, Education Attainment & Achievement, Expenditures, Savings & Consumption, Income, Neighborhoods & Geographic Mobility","Wilson, Kathryn, Lambright, Kristina, and Smeeding, Timothy.","School Finance, Equivalent Educational Expenditure, and the Income Distribution: Equal Dollars or Equal Chances for Success? Education Finance and Policy", 2006
State-Level Welfare Policies and Nonmarital Subsequent Childbearing,"Keywords: Children, Family Formation & Composition, Government Transfers","Ryan, Suzanne, Manlove, Jennifer, and Hofferth, Sandra L.", Population Research and Policy Review, 2006
Parental Weight Status as a Moderator of the Relationship Between Television Viewing and Childhood Overweight,"Keywords: Child Development Supplement, Children, Health, Disability & Mortality, Intergenerational Influences & Transfers","Vandewater, Elizabeth A. and Huang, Xuan.", Archives of Pediatrics & Adolescent Medicine, 2006
Precautionary Savings Behavior of Maritally Stressed Couples,"Keywords: Aging, Expenditures, Savings & Consumption, Family Formation & Composition, Wealth, Assets & Pensions","Finke, Michael S. and Pierce, Nancy L.", Family and Consumer Sciences Research Journal, 2006
Racism and Redistribution in the United States: A Solution to the Problem of American Exceptionalism,"Keywords: Aging, Government Transfers, Poverty, Racial-Ethnic Differences, Taxes, Wellbeing","Lee, Woojin and Roemer, John E.", Journal of Public Economics, 2006
"Resources, Living Arrangements and First Union Formation in the United States, the Netherlands, and West Germany","Keywords: Aging, Expenditures, Savings & Consumption, Housing, Intergenerational Influences & Transfers, International Studies","Mulder, Clara H., Clark, William A. V., and Wagner, Michael.", European Journal of Population/Revue Europeenne de Demographie, 2006
The Subjective Well-Being of America's Youth: Toward a Comprehensive Assessment,"Keywords: Child Development Supplement, Children, Education Attainment & Achievement, Health, Disability & Mortality, Wellbeing","Keyes, Corey L. M.", Adolescent & Family Health, 2006
Response Bias in a Popular Indicator of Reading to Children,"Keywords: Child Development Supplement, Children, Family Formation & Composition, Income, Labor Market & Outcomes, Racial-Ethnic Differences","Hofferth, Sandra L.", Sociological Methodology, 2006
Restricting Access in a Job Chains Model of Local Employment Creation,"Keywords: Income, Labor Market & Outcomes, Neighborhoods & Geographic Mobility","Persky, Joseph and Felsenstein, Daniel.", The Annals of Regional Science, 2006
The Rise of At-Will Employment and Racial Inequality in the Public Sector,"Keywords: Income, Labor Market & Outcomes, Racial-Ethnic Differences, Wellbeing","Wilson, George.", Review of Public Personnel Administration, 2006
The Role of Higher Education in Social Mobility,"Keywords: Children, Education Attainment & Achievement, Income, Poverty, Wellbeing","Haveman, Robert and Smeeding, Timothy.", The Future of Children, 2006
"Swimming Upstream, Floating Downstream: Comparing Women's Relative Wage Progress in the United States and Denmark","Keywords: Gender Differences, Income, International Studies, Labor Market & Outcomes","Gupta, Nabanita Datta, Oaxaca, Ronald L., and Smith, Nina.", Industrial and Labor Relations Review, 2006
"Tenure, Business Cycle and the Wage-Setting Process",Keywords: Labor Market & Outcomes,"Arozamena, Leandro and Centeno, Mario.", European Economic Review, 2006
Earnings Mobility and Low-Wage Workers in the United States,"Keywords: Aging, Education Attainment & Achievement, Gender Differences, Health, Disability & Mortality, Income, Labor Market & Outcomes, Life Course","Theodos, Brett and Bednarzik, Robert.", Monthly Labor Review, 2006
The Decline in Household Saving and the Wealth Effect,"Keywords: Aging, Expenditures, Savings & Consumption, Income, Wealth, Assets & Pensions","Juster, F. Thomas, Lupton, Joseph P., Smith, James P., and Stafford, Frank P.", The Review of Economics and Statistics, 2006
The Occupational Assimilation of Hispanic Immigrants in the U.S.: Evidence from Panel Data,"Keywords: Education Attainment & Achievement, Gender Differences, Income, Labor Market & Outcomes, Racial-Ethnic Differences","Toussaint-Comeau, Maude.", International Migration Review, 2006
Organization and Dissemination of Working Knowledge,Keywords: Survey Methodology,"Roos, Leslie L., Lix, Lisa, Bond, Ruth, and Smith, Stephanie.", Health Care Policy, 2006
"Organized Activity Participation, Positive Youth Development, and the Over-Scheduling Hypothesis","Keywords: Child Development Supplement, Children, Time Use & Home Production","Mahoney, Joseph L., Harris, Angel L., and Eccles, Jacquelynne S.", The Society for Research on Child Development: Social Policy Report, 2006
Parental Leave Statutes and Maternal Return to Work After Childbirth in the United States,"Keywords: Gender Differences, Labor Market & Outcomes","Hofferth, Sandra L. and Curtin, Sally C.", Work and Occupations, 2006
Changes in Women's Hours of Market Work: The Role of Returns to Experience,"Keywords: Children, Education Attainment & Achievement, Expenditures, Savings & Consumption, Family Formation & Composition, Gender Differences, Income, Labor Market & Outcomes, Life Course, Time Use & Home Production","Olivetti, Claudia.", Review of Economic Dynamics, 2006
Changing Demographics and New Pension Risks,"Keywords: Aging, Expenditures, Savings & Consumption, Government Transfers, Income, Labor Market & Outcomes, Retirement, Wealth, Assets & Pensions","Shuey, Kim M. and O'Rand, Angela M.", Research on Aging, 2006
Community Contributions to Scholastic Success,"Keywords: Child Development Supplement, Children, Education Attainment & Achievement, Neighborhoods & Geographic Mobility, Racial-Ethnic Differences","Kowaleski-Jones, Lori, Dunifon, Rachel, and Ream, G.", Journal of Community Psychology, 2006
